[2026-09-12 01:03:51 TP0 EP0] Decode batch, #running-req: 1, #full token: 512, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 2.97, accept rate: 0.39, cuda graph: True, gen throughput (token/s): 1.74, #queue-req: 0
[2026-09-12 01:04:32 TP0 EP0] Decode batch, #running-req: 4, #full token: 1536, full token usage: 0.00, #swa token: 1536, swa token usage: 0.00, accept len: 2.59, accept rate: 0.32, cuda graph: True, gen throughput (token/s): 210.13, #queue-req: 0
[2026-09-12 01:04:35 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.01, accept len: 5.32, accept rate: 0.86, cuda graph: True, gen throughput (token/s): 451.22, #queue-req: 0
[2026-09-12 01:04:39 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.01, accept len: 5.36, accept rate: 0.87, cuda graph: True, gen throughput (token/s): 608.25, #queue-req: 0
[2026-09-12 01:04:44 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.01, accept len: 4.66, accept rate: 0.73, cuda graph: True, gen throughput (token/s): 618.57, #queue-req: 0
[2026-09-12 01:04:48 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.01, accept len: 2.53, accept rate: 0.31, cuda graph: True, gen throughput (token/s): 316.66, #queue-req: 0
[2026-09-12 01:04:53 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.01, accept len: 2.17, accept rate: 0.23, cuda graph: True, gen throughput (token/s): 292.16, #queue-req: 0
[2026-09-12 01:04:57 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.01, accept len: 2.24, accept rate: 0.25, cuda graph: True, gen throughput (token/s): 264.39, #queue-req: 0
[2026-09-12 01:05:02 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.01, accept len: 2.33, accept rate: 0.27, cuda graph: True, gen throughput (token/s): 266.90, #queue-req: 0
[2026-09-12 01:05:07 TP0 EP0] Decode batch, #running-req: 5, #full token: 512, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 5.03, accept rate: 0.81, cuda graph: True, gen throughput (token/s): 705.83, #queue-req: 0
[2026-09-12 01:05:11 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.01, accept len: 4.10, accept rate: 0.62, cuda graph: True, gen throughput (token/s): 509.25, #queue-req: 0
[2026-09-12 01:05:17 TP0 EP0] Decode batch, #running-req: 16, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.02, accept len: 2.54, accept rate: 0.31, cuda graph: True, gen throughput (token/s): 246.99, #queue-req: 0
[2026-09-12 01:05:22 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.01, accept len: 2.98, accept rate: 0.40, cuda graph: True, gen throughput (token/s): 334.97, #queue-req: 0
[2026-09-12 01:05:27 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.01, accept len: 5.72, accept rate: 0.94, cuda graph: True, gen throughput (token/s): 847.18, #queue-req: 0
[2026-09-12 01:05:32 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.02, accept len: 5.36, accept rate: 0.87, cuda graph: True, gen throughput (token/s): 980.44, #queue-req: 0
[2026-09-12 01:05:39 TP0 EP0] Decode batch, #running-req: 31, #full token: 6656, full token usage: 0.00, #swa token: 6656, swa token usage: 0.02, accept len: 4.14, accept rate: 0.63, cuda graph: True, gen throughput (token/s): 739.76, #queue-req: 0
[2026-09-12 01:05:45 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.02, accept len: 2.05, accept rate: 0.21, cuda graph: True, gen throughput (token/s): 359.24, #queue-req: 0
[2026-09-12 01:05:52 TP0 EP0] Decode batch, #running-req: 24, #full token: 5888, full token usage: 0.00, #swa token: 5888, swa token usage: 0.02, accept len: 1.97, accept rate: 0.19, cuda graph: True, gen throughput (token/s): 352.73, #queue-req: 0
[2026-09-12 01:05:58 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.02, accept len: 2.08, accept rate: 0.22, cuda graph: True, gen throughput (token/s): 320.15, #queue-req: 0
[2026-09-12 01:06:04 TP0 EP0] Decode batch, #running-req: 5, #full token: 512, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 2.25, accept rate: 0.25, cuda graph: True, gen throughput (token/s): 418.70, #queue-req: 0
[2026-09-12 01:06:10 TP0 EP0] Decode batch, #running-req: 32, #full token: 13824, full token usage: 0.00, #swa token: 13824, swa token usage: 0.04, accept len: 4.84, accept rate: 0.77, cuda graph: True, gen throughput (token/s): 887.33, #queue-req: 0
[2026-09-12 01:06:17 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.02, accept len: 4.36, accept rate: 0.67, cuda graph: True, gen throughput (token/s): 729.94, #queue-req: 0
[2026-09-12 01:06:26 TP0 EP0] Decode batch, #running-req: 32, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.05, accept len: 2.92, accept rate: 0.38, cuda graph: True, gen throughput (token/s): 374.98, #queue-req: 0
[2026-09-12 01:06:32 TP0 EP0] Decode batch, #running-req: 9, #full token: 2560, full token usage: 0.00, #swa token: 2560, swa token usage: 0.01, accept len: 2.52, accept rate: 0.30, cuda graph: True, gen throughput (token/s): 421.44, #queue-req: 0
[2026-09-12 01:06:39 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.02, accept len: 5.26, accept rate: 0.85, cuda graph: True, gen throughput (token/s): 848.30, #queue-req: 0
[2026-09-12 01:06:46 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.05, accept len: 5.40, accept rate: 0.88, cuda graph: True, gen throughput (token/s): 1130.56, #queue-req: 0
[2026-09-12 01:06:57 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.05, accept len: 4.90, accept rate: 0.78, cuda graph: True, gen throughput (token/s): 1133.67, #queue-req: 0
[2026-09-12 01:07:06 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.05, accept len: 2.75, accept rate: 0.35, cuda graph: True, gen throughput (token/s): 592.39, #queue-req: 0
[2026-09-12 01:07:17 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.05, accept len: 1.95, accept rate: 0.19, cuda graph: True, gen throughput (token/s): 483.36, #queue-req: 0
[2026-09-12 01:07:26 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.05, accept len: 1.99, accept rate: 0.20, cuda graph: True, gen throughput (token/s): 369.39, #queue-req: 0
[2026-09-12 01:07:36 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.05, accept len: 2.21, accept rate: 0.24, cuda graph: True, gen throughput (token/s): 579.84, #queue-req: 0
[2026-09-12 01:07:47 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.05, accept len: 4.02, accept rate: 0.60, cuda graph: True, gen throughput (token/s): 840.04, #queue-req: 0
[2026-09-12 01:07:57 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.05, accept len: 4.53, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 980.32, #queue-req: 0
[2026-09-12 01:08:06 TP0 EP0] Decode batch, #running-req: 4, #full token: 512, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.85, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 927.98, #queue-req: 0
[2026-09-12 01:08:22 TP0 EP0] Decode batch, #running-req: 63, #full token: 29184, full token usage: 0.00, #swa token: 29184, swa token usage: 0.08, accept len: 2.33, accept rate: 0.27, cuda graph: True, gen throughput (token/s): 365.30, #queue-req: 0
[2026-09-12 01:08:32 TP0 EP0] Decode batch, #running-req: 52, #full token: 1536, full token usage: 0.00, #swa token: 1536, swa token usage: 0.00, accept len: 4.37, accept rate: 0.67, cuda graph: True, gen throughput (token/s): 813.79, #queue-req: 0
[2026-09-12 01:08:38 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.05, accept len: 5.81, accept rate: 0.96, cuda graph: True, gen throughput (token/s): 1202.83, #queue-req: 0
[2026-09-12 01:08:53 TP0 EP0] Decode batch, #running-req: 128, #full token: 32768, full token usage: 0.00, #swa token: 32768, swa token usage: 0.09, accept len: 5.40, accept rate: 0.88, cuda graph: True, gen throughput (token/s): 1306.25, #queue-req: 0
[2026-09-12 01:09:13 TP0 EP0] Decode batch, #running-req: 128, #full token: 32768, full token usage: 0.00, #swa token: 32768, swa token usage: 0.09, accept len: 4.39, accept rate: 0.68, cuda graph: True, gen throughput (token/s): 1059.77, #queue-req: 0
[2026-09-12 01:09:30 TP0 EP0] Decode batch, #running-req: 128, #full token: 32768, full token usage: 0.00, #swa token: 32768, swa token usage: 0.09, accept len: 2.36, accept rate: 0.27, cuda graph: True, gen throughput (token/s): 544.97, #queue-req: 0
[2026-09-12 01:09:49 TP0 EP0] Decode batch, #running-req: 128, #full token: 32256, full token usage: 0.00, #swa token: 32256, swa token usage: 0.09, accept len: 2.01, accept rate: 0.20, cuda graph: True, gen throughput (token/s): 541.39, #queue-req: 0
[2026-09-12 01:10:03 TP0 EP0] Decode batch, #running-req: 128, #full token: 32768, full token usage: 0.00, #swa token: 32768, swa token usage: 0.09, accept len: 2.02, accept rate: 0.20, cuda graph: True, gen throughput (token/s): 408.57, #queue-req: 0
[2026-09-12 01:10:22 TP0 EP0] Decode batch, #running-req: 124, #full token: 30464, full token usage: 0.00, #swa token: 30464, swa token usage: 0.09, accept len: 2.23, accept rate: 0.25, cuda graph: True, gen throughput (token/s): 623.33, #queue-req: 0
[2026-09-12 01:10:39 TP0 EP0] Decode batch, #running-req: 128, #full token: 32768, full token usage: 0.00, #swa token: 32768, swa token usage: 0.09, accept len: 4.17, accept rate: 0.63, cuda graph: True, gen throughput (token/s): 934.00, #queue-req: 0
[2026-09-12 01:10:58 TP0 EP0] Decode batch, #running-req: 128, #full token: 32768, full token usage: 0.00, #swa token: 32768, swa token usage: 0.09, accept len: 4.62, accept rate: 0.72, cuda graph: True, gen throughput (token/s): 1076.02, #queue-req: 0
[2026-09-12 01:11:15 TP0 EP0] Decode batch, #running-req: 16, #full token: 3328, full token usage: 0.00, #swa token: 3328, swa token usage: 0.01, accept len: 3.75, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 1016.23, #queue-req: 0
[2026-09-12 01:11:42 TP0 EP0] Decode batch, #running-req: 128, #full token: 65536, full token usage: 0.01, #swa token: 65536, swa token usage: 0.19, accept len: 2.38, accept rate: 0.28, cuda graph: True, gen throughput (token/s): 375.84, #queue-req: 0
[2026-09-12 01:12:00 TP0 EP0] Decode batch, #running-req: 128, #full token: 32768, full token usage: 0.00, #swa token: 32768, swa token usage: 0.09, accept len: 3.53, accept rate: 0.51, cuda graph: True, gen throughput (token/s): 695.25, #queue-req: 0
[2026-09-12 01:12:18 TP0 EP0] Decode batch, #running-req: 128, #full token: 32768, full token usage: 0.00, #swa token: 32768, swa token usage: 0.09, accept len: 5.68, accept rate: 0.94, cuda graph: True, gen throughput (token/s): 1504.30, #queue-req: 0
[2026-09-12 01:13:25 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.01, accept len: 5.34, accept rate: 0.87, cuda graph: True, gen throughput (token/s): 137.13, #queue-req: 0
[2026-09-12 01:13:29 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.01, accept len: 2.91, accept rate: 0.38, cuda graph: True, gen throughput (token/s): 242.59, #queue-req: 0
[2026-09-12 01:13:33 TP0 EP0] Decode batch, #running-req: 6, #full token: 1536, full token usage: 0.00, #swa token: 1536, swa token usage: 0.00, accept len: 3.12, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 235.18, #queue-req: 0
[2026-09-12 01:13:37 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.01, accept len: 3.05, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 367.31, #queue-req: 0
[2026-09-12 01:13:42 TP0 EP0] Decode batch, #running-req: 16, #full token: 5888, full token usage: 0.00, #swa token: 5888, swa token usage: 0.02, accept len: 3.06, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 379.27, #queue-req: 0
[2026-09-12 01:13:48 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.02, accept len: 2.97, accept rate: 0.39, cuda graph: True, gen throughput (token/s): 407.83, #queue-req: 0
[2026-09-12 01:13:54 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.02, accept len: 3.21, accept rate: 0.44, cuda graph: True, gen throughput (token/s): 629.15, #queue-req: 0
[2026-09-12 01:14:02 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.05, accept len: 3.05, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 452.73, #queue-req: 0
[2026-09-12 01:14:12 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.05, accept len: 3.21, accept rate: 0.44, cuda graph: True, gen throughput (token/s): 850.54, #queue-req: 0
[2026-09-12 01:14:23 TP0 EP0] Decode batch, #running-req: 38, #full token: 11776, full token usage: 0.00, #swa token: 11776, swa token usage: 0.03, accept len: 2.95, accept rate: 0.39, cuda graph: True, gen throughput (token/s): 656.12, #queue-req: 0
[2026-09-12 01:14:39 TP0 EP0] Decode batch, #running-req: 128, #full token: 32768, full token usage: 0.00, #swa token: 32768, swa token usage: 0.09, accept len: 3.10, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 736.58, #queue-req: 0
[2026-09-12 01:14:59 TP0 EP0] Decode batch, #running-req: 128, #full token: 52992, full token usage: 0.01, #swa token: 52992, swa token usage: 0.15, accept len: 3.09, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 814.89, #queue-req: 0
[2026-09-12 01:15:28 TP0 EP0] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.00, #swa token: 256, swa token usage: 0.00, accept len: 3.10, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 202.55, #queue-req: 0
[2026-09-12 01:15:32 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.01, accept len: 2.89, accept rate: 0.38, cuda graph: True, gen throughput (token/s): 231.80, #queue-req: 0
[2026-09-12 01:15:36 TP0 EP0] Decode batch, #running-req: 8, #full token: 3840, full token usage: 0.00, #swa token: 3840, swa token usage: 0.01, accept len: 3.06, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 240.81, #queue-req: 0
[2026-09-12 01:15:39 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.01, accept len: 3.03, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 323.34, #queue-req: 0
[2026-09-12 01:15:44 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.01, accept len: 3.06, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 387.67, #queue-req: 0
[2026-09-12 01:15:50 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.02, accept len: 3.38, accept rate: 0.48, cuda graph: True, gen throughput (token/s): 405.74, #queue-req: 0
[2026-09-12 01:15:56 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.02, accept len: 3.06, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 618.97, #queue-req: 0
[2026-09-12 01:16:03 TP0 EP0] Decode batch, #running-req: 6, #full token: 512, full token usage: 0.00, #swa token: 512, swa token usage: 0.00, accept len: 3.01, accept rate: 0.40, cuda graph: True, gen throughput (token/s): 492.10, #queue-req: 0
[2026-09-12 01:16:13 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.05, accept len: 3.17, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 755.11, #queue-req: 0
[2026-09-12 01:16:24 TP0 EP0] Decode batch, #running-req: 62, #full token: 30208, full token usage: 0.00, #swa token: 30208, swa token usage: 0.09, accept len: 2.99, accept rate: 0.40, cuda graph: True, gen throughput (token/s): 685.61, #queue-req: 0
[2026-09-12 01:16:39 TP0 EP0] Decode batch, #running-req: 128, #full token: 32768, full token usage: 0.00, #swa token: 32768, swa token usage: 0.09, accept len: 3.02, accept rate: 0.40, cuda graph: True, gen throughput (token/s): 688.65, #queue-req: 0
[2026-09-12 01:16:58 TP0 EP0] Decode batch, #running-req: 128, #full token: 33792, full token usage: 0.00, #swa token: 33792, swa token usage: 0.10, accept len: 3.11, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 854.99, #queue-req: 0
