[2026-09-12 00:38:57 TP0 EP0] Decode batch, #running-req: 1, #full token: 0, full token usage: 0.00, #swa token: 0, swa token usage: 0.00, accept len: 3.06, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 2.61, #queue-req: 0
[2026-09-12 00:40:06 TP0 EP0] Decode batch, #running-req: 32, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.09, accept len: 2.36, accept rate: 0.27, cuda graph: True, gen throughput (token/s): 306.54, #queue-req: 0
[2026-09-12 00:40:13 TP0 EP0] Decode batch, #running-req: 32, #full token: 7680, full token usage: 0.00, #swa token: 7680, swa token usage: 0.04, accept len: 4.19, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 602.72, #queue-req: 0
[2026-09-12 00:40:19 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.05, accept len: 5.76, accept rate: 0.95, cuda graph: True, gen throughput (token/s): 1247.17, #queue-req: 0
[2026-09-12 00:40:29 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.09, accept len: 5.09, accept rate: 0.82, cuda graph: True, gen throughput (token/s): 1189.16, #queue-req: 0
[2026-09-12 00:40:40 TP0 EP0] Decode batch, #running-req: 2, #full token: 256, full token usage: 0.00, #swa token: 256, swa token usage: 0.00, accept len: 3.77, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 718.91, #queue-req: 0
[2026-09-12 00:40:50 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.09, accept len: 1.83, accept rate: 0.17, cuda graph: True, gen throughput (token/s): 406.78, #queue-req: 0
[2026-09-12 00:41:02 TP0 EP0] Decode batch, #running-req: 32, #full token: 6656, full token usage: 0.00, #swa token: 6656, swa token usage: 0.04, accept len: 1.98, accept rate: 0.20, cuda graph: True, gen throughput (token/s): 409.62, #queue-req: 0
[2026-09-12 00:41:12 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.09, accept len: 2.16, accept rate: 0.23, cuda graph: True, gen throughput (token/s): 378.52, #queue-req: 0
[2026-09-12 00:41:23 TP0 EP0] Decode batch, #running-req: 63, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.09, accept len: 2.28, accept rate: 0.26, cuda graph: True, gen throughput (token/s): 416.46, #queue-req: 0
[2026-09-12 00:41:34 TP0 EP0] Decode batch, #running-req: 52, #full token: 16896, full token usage: 0.00, #swa token: 16896, swa token usage: 0.10, accept len: 4.83, accept rate: 0.77, cuda graph: True, gen throughput (token/s): 1201.53, #queue-req: 0
[2026-09-12 00:41:44 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.09, accept len: 4.17, accept rate: 0.63, cuda graph: True, gen throughput (token/s): 899.58, #queue-req: 0
[2026-09-12 00:41:59 TP0 EP0] Decode batch, #running-req: 64, #full token: 32768, full token usage: 0.00, #swa token: 32768, swa token usage: 0.18, accept len: 2.85, accept rate: 0.37, cuda graph: True, gen throughput (token/s): 400.52, #queue-req: 0
[2026-09-12 00:42:09 TP0 EP0] Decode batch, #running-req: 11, #full token: 1024, full token usage: 0.00, #swa token: 1024, swa token usage: 0.01, accept len: 2.61, accept rate: 0.32, cuda graph: True, gen throughput (token/s): 528.61, #queue-req: 0
[2026-09-12 00:42:21 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.09, accept len: 5.40, accept rate: 0.88, cuda graph: True, gen throughput (token/s): 998.82, #queue-req: 0
[2026-09-12 00:43:38 TP0 EP0] Decode batch, #running-req: 1, #full token: 256, full token usage: 0.00, #swa token: 256, swa token usage: 0.00, accept len: 5.70, accept rate: 0.94, cuda graph: True, gen throughput (token/s): 127.80, #queue-req: 0
[2026-09-12 00:43:43 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.05, accept len: 3.11, accept rate: 0.42, cuda graph: True, gen throughput (token/s): 561.76, #queue-req: 0
[2026-09-12 00:43:50 TP0 EP0] Decode batch, #running-req: 32, #full token: 14080, full token usage: 0.00, #swa token: 14080, swa token usage: 0.08, accept len: 3.05, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 560.20, #queue-req: 0
[2026-09-12 00:49:52 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.05, accept len: 3.07, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 4.58, #queue-req: 0
[2026-09-12 00:49:58 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.05, accept len: 3.15, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 670.32, #queue-req: 0
[2026-09-12 00:50:06 TP0 EP0] Decode batch, #running-req: 24, #full token: 9728, full token usage: 0.00, #swa token: 9728, swa token usage: 0.05, accept len: 3.00, accept rate: 0.40, cuda graph: True, gen throughput (token/s): 516.58, #queue-req: 0
[2026-09-12 00:50:15 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.09, accept len: 3.17, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 713.21, #queue-req: 0
[2026-09-12 00:50:26 TP0 EP0] Decode batch, #running-req: 64, #full token: 32256, full token usage: 0.00, #swa token: 32256, swa token usage: 0.18, accept len: 3.07, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 737.41, #queue-req: 0
[2026-09-12 00:50:52 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.05, accept len: 2.93, accept rate: 0.39, cuda graph: True, gen throughput (token/s): 94.58, #queue-req: 0
[2026-09-12 00:50:58 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.05, accept len: 3.15, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 670.43, #queue-req: 0
[2026-09-12 00:51:06 TP0 EP0] Decode batch, #running-req: 24, #full token: 9728, full token usage: 0.00, #swa token: 9728, swa token usage: 0.05, accept len: 3.00, accept rate: 0.40, cuda graph: True, gen throughput (token/s): 516.25, #queue-req: 0
[2026-09-12 00:51:15 TP0 EP0] Decode batch, #running-req: 64, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.09, accept len: 3.17, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 714.07, #queue-req: 0
[2026-09-12 00:51:26 TP0 EP0] Decode batch, #running-req: 64, #full token: 32256, full token usage: 0.00, #swa token: 32256, swa token usage: 0.18, accept len: 3.07, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 736.09, #queue-req: 0
