[2026-09-12 00:14:19 TP0 EP0] Decode batch, #running-req: 1, #full token: 0, full token usage: 0.00, #swa token: 0, swa token usage: 0.00, accept len: 3.03, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 2.24, #queue-req: 0
[2026-09-12 00:16:17 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.09, accept len: 1.95, accept rate: 0.19, cuda graph: True, gen throughput (token/s): 368.31, #queue-req: 0
[2026-09-12 00:16:24 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.09, accept len: 2.02, accept rate: 0.20, cuda graph: True, gen throughput (token/s): 284.54, #queue-req: 0
[2026-09-12 00:16:30 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.09, accept len: 2.20, accept rate: 0.24, cuda graph: True, gen throughput (token/s): 456.84, #queue-req: 0
[2026-09-12 00:16:36 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.09, accept len: 3.77, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 585.48, #queue-req: 0
[2026-09-12 00:16:43 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.09, accept len: 4.71, accept rate: 0.74, cuda graph: True, gen throughput (token/s): 797.57, #queue-req: 0
[2026-09-12 00:16:50 TP0 EP0] Decode batch, #running-req: 7, #full token: 1792, full token usage: 0.00, #swa token: 1792, swa token usage: 0.02, accept len: 3.74, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 698.22, #queue-req: 0
[2026-09-12 00:16:58 TP0 EP0] Decode batch, #running-req: 32, #full token: 16384, full token usage: 0.00, #swa token: 16384, swa token usage: 0.18, accept len: 2.38, accept rate: 0.28, cuda graph: True, gen throughput (token/s): 285.99, #queue-req: 0
[2026-09-12 00:17:05 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.09, accept len: 3.50, accept rate: 0.50, cuda graph: True, gen throughput (token/s): 500.58, #queue-req: 0
[2026-09-12 00:17:11 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.09, accept len: 5.69, accept rate: 0.94, cuda graph: True, gen throughput (token/s): 1147.39, #queue-req: 0
[2026-09-12 00:18:17 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.02, accept len: 5.03, accept rate: 0.81, cuda graph: True, gen throughput (token/s): 33.94, #queue-req: 0
[2026-09-12 00:18:20 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.02, accept len: 2.89, accept rate: 0.38, cuda graph: True, gen throughput (token/s): 243.01, #queue-req: 0
[2026-09-12 00:18:24 TP0 EP0] Decode batch, #running-req: 4, #full token: 1536, full token usage: 0.00, #swa token: 1536, swa token usage: 0.02, accept len: 3.15, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 242.44, #queue-req: 0
[2026-09-12 00:18:28 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.05, accept len: 3.04, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 365.69, #queue-req: 0
[2026-09-12 00:18:34 TP0 EP0] Decode batch, #running-req: 16, #full token: 5888, full token usage: 0.00, #swa token: 5888, swa token usage: 0.06, accept len: 3.05, accept rate: 0.41, cuda graph: True, gen throughput (token/s): 381.28, #queue-req: 0
[2026-09-12 00:18:39 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.09, accept len: 2.99, accept rate: 0.40, cuda graph: True, gen throughput (token/s): 409.49, #queue-req: 0
[2026-09-12 00:18:46 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.09, accept len: 3.19, accept rate: 0.44, cuda graph: True, gen throughput (token/s): 620.87, #queue-req: 0
[2026-09-12 00:18:58 TP0 EP0] Decode batch, #running-req: 1, #full token: 0, full token usage: 0.00, #swa token: 0, swa token usage: 0.00, accept len: 3.02, accept rate: 0.40, cuda graph: True, gen throughput (token/s): 229.32, #queue-req: 0
[2026-09-12 00:19:17 TP0 EP0] Decode batch, #running-req: 8, #full token: 2048, full token usage: 0.00, #swa token: 2048, swa token usage: 0.02, accept len: 2.87, accept rate: 0.37, cuda graph: True, gen throughput (token/s): 34.50, #queue-req: 0
[2026-09-12 00:19:21 TP0 EP0] Decode batch, #running-req: 8, #full token: 2304, full token usage: 0.00, #swa token: 2304, swa token usage: 0.03, accept len: 2.96, accept rate: 0.39, cuda graph: True, gen throughput (token/s): 237.95, #queue-req: 0
[2026-09-12 00:19:25 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.05, accept len: 3.31, accept rate: 0.46, cuda graph: True, gen throughput (token/s): 286.15, #queue-req: 0
[2026-09-12 00:19:29 TP0 EP0] Decode batch, #running-req: 16, #full token: 4096, full token usage: 0.00, #swa token: 4096, swa token usage: 0.05, accept len: 2.94, accept rate: 0.39, cuda graph: True, gen throughput (token/s): 392.50, #queue-req: 0
[2026-09-12 00:19:34 TP0 EP0] Decode batch, #running-req: 1, #full token: 512, full token usage: 0.00, #swa token: 512, swa token usage: 0.01, accept len: 3.26, accept rate: 0.45, cuda graph: True, gen throughput (token/s): 356.96, #queue-req: 0
[2026-09-12 00:19:41 TP0 EP0] Decode batch, #running-req: 32, #full token: 8192, full token usage: 0.00, #swa token: 8192, swa token usage: 0.09, accept len: 3.14, accept rate: 0.43, cuda graph: True, gen throughput (token/s): 595.90, #queue-req: 0
[2026-09-12 00:19:48 TP0 EP0] Decode batch, #running-req: 31, #full token: 15360, full token usage: 0.00, #swa token: 15360, swa token usage: 0.17, accept len: 3.00, accept rate: 0.40, cuda graph: True, gen throughput (token/s): 528.12, #queue-req: 0
